"","Code","Country.Name","zoo_EID_counts_binom","zoo_EID_counts_pois","Ad_zoo_EID_counts_pois","Agricultural_land","GDP","Population","Population_density","Popolation_growth","Precipitation","Livestock_density","Forest_coverage","Temperature","Aves_richness","Mammalian_richness","Im_counts","Ex_counts","Year","RE","RB","Im_counts_scaled","Ex_counts_scaled","Mammalian_richness_scaled","Aves_richness_scaled","Temperature_scaled","Livestock_density_scaled","Precipitation_scaled","Population_density_scaled","GDP_scaled","GDP_p_c","GDP_p_scaled","Popolation_growth_scaled","Forest_coverage_scaled","Agricultural_land_scaled"
"35",68,"France",1,1,12,53.67550776,2.22e+12,65030575,115.4005793,0.749918325,867,0.83,28.95,11.33,522,155,7195.7378,451.126,2005,587,9.026523293,-0.347765857,-0.705111891,-0.764799108,-0.742091646,-0.379840176,0.357535252,-0.221407764,0.037908369,-0.177358322,34137.78826,0.568867786,-0.461873379,-0.142705016,0.480951948
"36",68,"France",1,1,10,52.67908181,2.38e+12,54753575,119.9185473,0.48395349,867,0.83,30.29,11.53,522,155,8897.4842,1034.862,2012,587,10.72076116,-0.342062687,-0.692788982,-0.764799108,-0.742091646,-0.355248419,0.357535252,-0.221407764,0.066648284,-0.139656157,43467.48135,1.095152614,-0.722625864,-0.073202452,0.428981729
"37",73,"Germany",1,2,50,52.25560679,1.99e+12,77684873,222.509876,-0.223489902,700,1.67,NA,7.77,484,125,260107.993,16211.017,1985,330,4.034413812,0.499834996,-0.372414072,-0.923416275,-0.833871899,-0.817573446,1.835139429,-0.51036945,0.719257168,-0.231555184,25616.31272,0.088174236,-1.416204857,NA,0.406894699
"38",73,"Germany",1,1,25,51.83456019,2.14e+12,78144619,223.8267092,0.39067896,700,1.63,NA,9.29,484,125,498548.345,48518.355,1988,330,4.034413812,1.298935244,0.309607199,-0.923416275,-0.833871899,-0.630676095,1.764777325,-0.51036945,0.72763387,-0.196209404,27385.12296,0.187952223,-0.81407241,NA,0.384934327
"39",73,"Germany",1,1,25,49.66341058,2.6e+12,81914831,234.6524707,0.289474899,700,1.26,32.46,7.57,484,125,176139.1112,9792.564,1996,330,4.028574508,0.218424766,-0.50791027,-0.923416275,-0.833871899,-0.842165203,1.113927867,-0.51036945,0.796499224,-0.08781568,31740.284,0.433625383,-0.913293084,0.039350208,0.27169448
"40",73,"Germany",1,1,25,48.61330198,3.11e+12,82266372,235.9433619,-0.133718573,700,1.17,32.67,10.09,484,125,87544.226,24560.561,2007,330,4.011359587,-0.078488882,-0.196151744,-0.923416275,-0.833871899,-0.532309068,0.955613133,-0.51036945,0.804710903,0.032359971,37804.0252,0.77567897,-1.328192857,0.050242401,0.216924354
"41",84,"Haiti",1,1,11,58.05515239,11707665258,5760197,209.0056967,1.990462206,1440,0.93,NA,24.59,277,51,0,2,1981,71,9.222829915,-0.371881389,-0.714593127,-1.314671954,-1.333832748,1.250593296,0.533440512,0.770059578,0.633353734,-0.697717084,2032.511259,-1.242180017,0.754358458,NA,0.709379454
"42",84,"Haiti",1,1,11,58.05515239,11496233403,6245539,226.616074,2.031646355,1440,0.95,NA,24.2,277,51,0,0,1985,71,9.222829915,-0.371881389,-0.714635347,-1.314671954,-1.333832748,1.202639371,0.568621563,0.770059578,0.745377712,-0.697766905,1840.71117,-1.252999395,0.794735485,NA,0.709379454
"43",87,"Hungary",1,1,32,73.96574733,NA,10704152,119.0408363,0.180747382,589,0.62,NA,10.72,370,92,4,6,1979,33,3.197645328,-0.371867983,-0.714508685,-1.097895159,-1.109212656,-0.454845034,-0.011865792,-0.702433804,0.061064947,NA,NA,NA,-1.019889771,NA,1.53922247
"44",89,"India",1,1,447,60.97995755,4.96e+11,907574049,305.2526239,2.074344245,1083,0.92,21.75,24.35,1271,431,167,83,1992,218,0.223891142,-0.371321711,-0.712883183,0.694478831,1.066945435,1.221083188,0.515849986,0.152339088,1.245604307,-0.583599149,546.5118803,-1.326004739,0.836596586,-0.516151628,0.861927435
